$,$,カード種別,カード名,カード名,
禁止,効果/モンスター,古衛兵アギド,AGIDO THE ANCIENT SENTINEL,
禁止,効果/モンスター,アマゾネスの射手,AMAZONESS ARCHER,
禁止,効果/モンスター,アーティファクト－デスサイズ,ARTIFACT SCYTHE,制限⇒禁止
禁止,効果/モンスター,烈風の結界像,BARRIER STATUE OF THE STORMWINDS,
禁止,効果/モンスター,BF－朧影のゴウフウ,BLACKWING - GOFU THE VAGUE SHADOW,
禁止,効果/モンスター,キャノン・ソルジャー,CANNON SOLDIER,
禁止,効果/モンスター,メガキャノン・ソルジャー,CANNON SOLDIER MK-2,
禁止,効果/モンスター,カタパルト・タートル,CATAPULT TURTLE,
禁止,効果/モンスター,デビル・フランケン,CYBER-STEIN,
禁止,効果/モンスター,ダンディライオン,DANDYLION,
禁止,効果/モンスター,儀式魔人リリーサー,DJINN RELEASER OF RITUALS,
禁止,効果/モンスター,エクリプス・ワイバーン,ECLIPSE WYVERN,
禁止,効果/モンスター,ファイバーポッド,FIBER JAR,
禁止,効果/モンスター,フィッシュボーグ－ガンナー,FISHBORG BLASTER,
禁止,効果/モンスター,トーチ・ゴーレム,GRINDER GOLEM,
禁止,効果/モンスター,クシャトリラ・フェンリル,KASHTIRA FENRIR,
禁止,効果/モンスター,古尖兵ケルベク,KELBEK THE ANCIENT VANGUARD,
禁止,効果/モンスター,レベル・スティーラー,LEVEL EATER,
禁止,効果/モンスター,魔導サイエンティスト,MAGICAL SCIENTIST,
禁止,効果/モンスター,メンタルマスター,MIND MASTER,
禁止,効果/モンスター,フェニキシアン・クラスター・アマリリス,PHOENIXIAN CLUSTER AMARYLLIS,
禁止,効果/モンスター,イレカエル,SUBSTITOAD,
禁止,効果/モンスター,超重武者装留ブレイク・アーマー,SUPERHEAVY SAMURAI SOULBREAKER ARMOR,
禁止,効果/モンスター,The tyrant NEPTUNE,THE TYRANT NEPTUNE,
禁止,効果/モンスター,トゥーン・キャノン・ソルジャー,TOON CANNON SOLDIER,
禁止,効果/モンスター,ヴィクトリー・ドラゴン,VICTORY DRAGON,
禁止,効果/モンスター,流離のグリフォンライダー,WANDERING GRYPHON RIDER,
禁止,効果/モンスター,ゼンマイハンター,WIND-UP HUNTER,
禁止,融合/モンスター,旧神ノーデン,ELDER ENTITY NORDEN,
禁止,融合/モンスター,ティアラメンツ・キトカロス,TEARLAMENTS KITKALLOS,
禁止,シンクロ/モンスター,混沌魔龍 カオス・ルーラー,CHAOS RULER，THE CHAOTIC MAGICAL DRAGON,
禁止,シンクロ/モンスター,琰魔竜王 レッド・デーモン・カラミティ,HOT RED DRAGON ARCHFIEND KING CALAMITY,
禁止,シンクロ/モンスター,マジックテンペスター,TEMPEST MAGICIAN,
禁止,エクシーズ/モンスター,深淵に潜む者,ABYSS DWELLER,
禁止,エクシーズ/モンスター,永遠の淑女 ベアトリーチェ,BEATRICE，LADY OF THE ETERNAL,
禁止,エクシーズ/モンスター,ラヴァルバル・チェイン,LAVALVAL CHAIN,
禁止,エクシーズ/モンスター,No.16 色の支配者ショック・ルーラー,NUMBER 16: SHOCK MASTER,
禁止,エクシーズ/モンスター,No.86 H－C ロンゴミアント,NUMBER 86: HEROIC CHAMPION - RHONGOMYNIAD,
禁止,エクシーズ/モンスター,No.95 ギャラクシーアイズ･ダークマター･ドラゴン,NUMBER 95: GALAXY-EYES DARK MATTER DRAGON,
禁止,エクシーズ/モンスター,SNo.0 ホープ・ゼアル,NUMBER S0: UTOPIC ZEXAL,
禁止,エクシーズ/モンスター,外神アザトート,OUTER ENTITY AZATHOT,
禁止,エクシーズ/モンスター,餅カエル,TOADALLY AWESOME,
禁止,エクシーズ/モンスター,真竜皇V.F.D.,TRUE KING OF ALL CALAMITIES,
禁止,エクシーズ/モンスター,十二獣ブルホーン,ZOODIAC BROADBULL,
禁止,リンク/モンスター,水晶機巧－ハリファイバー,CRYSTRON HALQIFIBRAX,
禁止,リンク/モンスター,守護竜アガーペイン,GUARDRAGON AGARPAIN,
禁止,リンク/モンスター,守護竜エルピィ,GUARDRAGON ELPY,
禁止,リンク/モンスター,トロイメア・ゴブリン,KNIGHTMARE GOBLIN,
禁止,リンク/モンスター,トロイメア・マーメイド,KNIGHTMARE MERMAID,
禁止,リンク/モンスター,リンクロス,LINKROSS,
禁止,リンク/モンスター,捕食植物ヴェルテ・アナコンダ,PREDAPLANT VERTE ANACONDA,
禁止,リンク/モンスター,スプライト・エルフ,SPRIGHT ELF,
禁止,リンク/モンスター,トポロジック・ガンブラー・ドラゴン,TOPOLOGIC GUMBLAR DRAGON,
禁止,リンク/モンスター,ユニオン・キャリアー,UNION CARRIER,
禁止,魔法,蝶の短剣－エルマ,BUTTERFLY DAGGER - ELMA,
禁止,魔法,生還の宝札,CARD OF SAFE RETURN,
禁止,魔法,大寒波,COLD WAVE,
禁止,魔法,押収,CONFISCATION,
禁止,魔法,いたずら好きな双子悪魔,DELINQUENT DUO,
禁止,魔法,次元融合,DIMENSION FUSION,
禁止,魔法,神剣－フェニックスブレード,DIVINE SWORD - PHOENIX BLADE,
禁止,魔法,ハリケーン,GIANT TRUNADE,
禁止,魔法,天使の施し,GRACEFUL CHARITY,
禁止,魔法,カイザーコロシアム,KAISER COLOSSEUM,
禁止,魔法,遺言状,LAST WILL,
禁止,魔法,マスドライバー,MASS DRIVER,
禁止,魔法,突然変異,METAMORPHOSIS,
禁止,魔法,悪夢の蜃気楼,MIRAGE OF NIGHTMARE,
禁止,魔法,魔鍾洞,MYSTIC MINE,
禁止,魔法,苦渋の選択,PAINFUL CHOICE,
禁止,魔法,強欲な壺,POT OF GREED,
禁止,魔法,早すぎた埋葬,PREMATURE BURIAL,
禁止,魔法,盗人の煙玉,SMOKE GRENADE OF THE THIEF,
禁止,魔法,ソウル・チャージ,SOUL CHARGE,
禁止,魔法,強引な番兵,THE FORCEFUL SENTRY,
禁止,罠,王宮の勅命,IMPERIAL ORDER,
禁止,罠,ラストバトル！,LAST TURN,
禁止,罠,ライフチェンジャー,LIFE EQUALIZER,
禁止,罠,マジカル・エクスプロージョン,MAGICAL EXPLOSION,
禁止,罠,異次元からの帰還,RETURN FROM THE DIFFERENT DIMENSION,
禁止,罠,王宮の弾圧,ROYAL OPPRESSION,
禁止,罠,第六感,SIXTH SENSE,
禁止,罠,サモンリミッター,SUMMON LIMIT,制限⇒禁止
禁止,罠,ダスト・シュート,TRAP DUSTSHOOT,
禁止,罠,血の代償,ULTIMATE OFFERING,
禁止,罠,虚無空間,VANITY'S EMPTINESS,
,,,,
制限,バニラ,封印されし者の左腕,LEFT ARM OF THE FORBIDDEN ONE,
制限,バニラ,封印されし者の左足,LEFT LEG OF THE FORBIDDEN ONE,
制限,バニラ,封印されし者の右腕,RIGHT ARM OF THE FORBIDDEN ONE,
制限,バニラ,封印されし者の右足,RIGHT LEG OF THE FORBIDDEN ONE,
制限,効果/モンスター,ブロックドラゴン,BLOCK DRAGON,
制限,効果/モンスター,深淵の獣バルドレイク,BYSTIAL BALDRAKE,
制限,効果/モンスター,深淵の獣ドルイドヴルム,BYSTIAL DRUISWURM,
制限,効果/モンスター,深淵の獣マグナムート,BYSTIAL MAGNAMHUT,
制限,効果/モンスター,黒魔女ディアベルスター,DIABELLSTAR THE BLACK WITCH,
制限,効果/モンスター,ディメンション・アトラクター,DIMENSION SHIFTER,準制限⇒制限
制限,効果/モンスター,封印されしエクゾディア,EXODIA THE FORBIDDEN ONE,
制限,効果/モンスター,エクス・ライゼオル,EXT RYZEAL,
制限,効果/モンスター,魔を刻むデモンスミス,FIENDSMITH ENGRAVER,
制限,効果/モンスター,朱光の宣告者,HERALD OF ORANGE LIGHT,
制限,効果/モンスター,クシャトリラ・ユニコーン,KASHTIRA UNICORN,
制限,効果/モンスター,宿神像ケルドウ,KELDO THE SACRED PROTECTOR,
制限,効果/モンスター,M∀LICE＜P＞Dormouse,MALISS ＜P＞DORMOUSE,新規
制限,効果/モンスター,斬機サーキュラー,MATHMECH CIRCULAR,
制限,効果/モンスター,剣神官ムドラ,MUDORA THE SWORD ORACLE,
制限,効果/モンスター,PSYフレームギア・γ,PSY-FRAMEGEAR GAMMA,
制限,効果/モンスター,スネークアイ・エクセル,SNAKE-EYE ASH,
制限,効果/モンスター,蛇眼の炎燐,SNAKE-EYES POPLAR,
制限,効果/モンスター,スプライト・ブルー,SPRIGHT BLUE,
制限,効果/モンスター,スプライト・ジェット,SPRIGHT JET,
制限,効果/モンスター,超重武者装留イワトオシ,SUPERHEAVY SAMURAI SOULPIERCER,
制限,効果/モンスター,ソード・ライゼオル,SWORD RYZEAL,新規
制限,効果/モンスター,ティアラメンツ・ハゥフニス,TEARLAMENTS HAVNIS,
制限,効果/モンスター,ティアラメンツ・クシャトリラ,TEARLAMENTS KASHTIRA,
制限,効果/モンスター,ティアラメンツ・メイルゥ,TEARLAMENTS MERRLI,
制限,効果/モンスター,ティアラメンツ・レイノハート,TEARLAMENTS REINOHEART,
制限,効果/モンスター,ティアラメンツ・シェイレーン,TEARLAMENTS SCHEIREN,
制限,効果/モンスター,天盃龍チュンドラ,TENPAI DRAGON CHUNDRA,
制限,効果/モンスター,深淵の獣ルベリオン,THE BYSTIAL LUBELLION,
制限,効果/モンスター,十二獣モルモラット,ZOODIAC RATPIER,
制限,P効果,アストログラフ・マジシャン,ASTROGRAPH SORCERER,
制限,融合/モンスター,重爆撃禽 ボム・フェネクス,BLAZE FENIX，THE BURNING BOMBARDMENT BIRD,
制限,融合/モンスター,ファントム・オブ・ユベル,PHANTOM OF YUBEL,
制限,融合/モンスター,超魔導竜騎士－ドラグーン・オブ・レッドアイズ,RED-EYES DARK DRAGOON ,
制限,シンクロ/モンスター,PSYフレームロード・Ω,PSY-FRAMELORD OMEGA,
制限,シンクロ/モンスター,TG ハイパー・ライブラリアン,T.G. HYPER LIBRARIAN,
制限,エクシーズ/モンスター,No.40 ギミック・パペット－ヘブンズ・ストリングス,NUMBER 40: GIMMICK PUPPET OF STRINGS,
制限,エクシーズ/モンスター,十二獣ドランシア,ZOODIAC DRIDENT,
制限,リンク/モンスター,ヘビーメタルフォーゼ・エレクトラム,HEAVYMETALFOES ELECTRUMITE,
制限,リンク/モンスター,S：Pリトルナイト,S:P LITTLE KNIGHT,
制限,魔法,闇の誘惑,ALLURE OF DARKNESS,
制限,魔法,篝火,BONFIRE,
制限,魔法,烙印融合,BRANDED FUSION,
制限,魔法,ブリリアント・フュージョン,BRILLIANT FUSION,
制限,魔法,手札抹殺,CARD DESTRUCTION,
制限,魔法,抹殺の指名者,CROSSOUT DESIGNATOR,
制限,魔法,EMERGENCY!,EMERGENCY！,
制限,魔法,刻まれし魔の詠聖,FIENDSMITH'S TRACT,
制限,魔法,おろかな埋葬,FOOLISH BURIAL,
制限,魔法,六武の門,GATEWAY OF THE SIX,
制限,魔法,封印の黄金櫃,GOLD SARCOPHAGUS,
制限,魔法,ハーピィの羽根帚,HARPIE'S FEATHER DUSTER,
制限,魔法,大嵐,HEAVY STORM,
制限,魔法,簡易融合,INSTANT FUSION,
制限,魔法,マスク・チェンジ・セカンド,MASK CHANGE II,
制限,魔法,死者蘇生,MONSTER REBORN,
制限,魔法,一時休戦,ONE DAY OF PEACE,
制限,魔法,ワン・フォー・ワン,ONE FOR ONE,
制限,魔法,金満で謙虚な壺,POT OF PROSPERITY,
制限,魔法,六世壊＝パライゾス,PRESSURED PLANET WRAITSOTH,
制限,魔法,原初の種,PRIMAL SEED,
制限,魔法,壱世壊＝ペルレイノ,PRIMEVAL PLANET PERLEREINO,
制限,魔法,増援,REINFORCEMENT OF THE ARMY,
制限,魔法,神碑の泉,RUNICK FOUNTAIN,
制限,魔法,盃満ちる燦幻荘,SANGEN SUMMONING,
制限,魔法,盆回し,SET ROTATION,
制限,魔法,時空の七皇,SEVENTH TACHYON,準制限⇒制限
制限,魔法,閃刀機－ホーネットビット,SKY STRIKER MECHA - HORNET DRONES,
制限,魔法,スプライト・スターター,SPRIGHT STARTER,
制限,魔法,テラ・フォーミング,TERRAFORMING,
制限,魔法,隣の芝刈り,THAT GRASS LOOKS GREENER,準制限⇒制限
制限,魔法,“罪宝狩りの悪魔”,WANTED: SEEKER OF SINFUL SPOILS,
制限,罠,御前試合,GOZEN MATCH,
制限,罠,レッド・リブート,RED REBOOT,
制限,罠,群雄割拠,RIVALRY OF WARLORDS,
制限,罠,スキルドレイン,SKILL DRAIN,
制限,罠,センサー万別,THERE CAN BE ONLY ONE,
制限,罠,トリックスター・リンカーネイション,TRICKSTAR REINCARNATION,
,,,,
準制限,効果/モンスター,サイバーポッド,CYBER JAR,制限⇒準制限
準制限,効果/モンスター,増殖するG,MAXX "C",
準制限,効果/モンスター,R－ACEエアホイスター,RESCUE-ACE AIR LIFTER,
準制限,効果/モンスター,SRベイゴマックス,SPEEDROID TERRORTOP,
準制限,魔法,墓穴の指名者,CALLED BY THE GRAVE,
準制限,魔法,緊急テレポート,EMERGENCY TELEPORT,
準制限,魔法,おろかな副葬,FOOLISH BURIAL GOODS,
準制限,魔法,フュージョン・デステニー,FUSION DESTINY,
準制限,魔法,ナイトメア・スローン,NIGHTMARE THRONE,
準制限,魔法,強欲で貪欲な壺,POT OF DESIRES,
準制限,魔法,強欲で金満な壺,POT OF EXTRAVAGANCE,
準制限,魔法,ピュアリィ・スリーピィメモリー,PURRELY SLEEPY MEMORY,制限⇒準制限
準制限,魔法,超融合,SUPER POLYMERIZATION,
準制限,罠,ビッグウェルカム・ラビュリンス,BIG WELCOME LABRYNTH,
,,,,
解除,効果/モンスター,炎王神獣 キリン,FIRE KING HIGH AVATAR KIRIN,準制限⇒解除
解除,効果/モンスター,真竜剣皇マスターP,MASTER PEACE，THE TRUE DRACOSLAYING KING,準制限⇒解除
解除,効果/モンスター,メタモルポット,MORPHING JAR,準制限⇒解除
解除,P効果,クロノグラフ・マジシャン,CHRONOGRAPH SORCERER,準制限⇒解除
解除,P効果,EMモンキーボード,PERFORMAPAL MONKEYBOARD,準制限⇒解除
解除,魔法,強奪,SNATCH STEAL,準制限⇒解除
解除,魔法,十二獣の会局,ZOODIAC BARRAGE,準制限⇒解除
